epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,4423.79,1.15952,0.51501,0.00215,0.88382,0.81445,0.87957,0.66904,1.12305,0.60682,0.0021,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4477.44,1.15568,0.51582,0.00212,0.87919,0.81931,0.88028,0.67001,1.12854,0.60621,0.0021,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4530.93,1.15583,0.51473,0.00213,0.89071,0.80685,0.8836,0.67239,1.12452,0.59308,0.00209,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4584.15,1.15441,0.51457,0.00213,0.89991,0.80036,0.87903,0.67014,1.12664,0.6034,0.0021,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4637.61,1.15235,0.51267,0.0021,0.88689,0.82329,0.88802,0.67611,1.12458,0.58938,0.00209,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4691.39,1.1476,0.51076,0.00211,0.89536,0.81724,0.8862,0.67531,1.12332,0.60163,0.00208,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4744.16,1.13405,0.5031,0.0021,0.88481,0.81778,0.87877,0.66908,1.11706,0.60959,0.00208,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4797.17,1.13776,0.50648,0.00209,0.89646,0.81176,0.88032,0.67113,1.11982,0.60704,0.00208,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4850.39,1.12941,0.50532,0.00209,0.893,0.81578,0.88009,0.67066,1.11712,0.60258,0.00208,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4902.03,1.04017,0.44789,0.00212,0.88927,0.8147,0.87971,0.66522,1.13501,0.60119,0.00211,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4951.4,1.03689,0.4424,0.00209,0.90597,0.80283,0.87796,0.66653,1.13227,0.61226,0.00211,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5000.54,1.02442,0.43746,0.00207,0.89449,0.8138,0.87859,0.66757,1.12975,0.60885,0.0021,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5049.7,1.01949,0.43489,0.00208,0.90062,0.80462,0.88014,0.66915,1.13087,0.60841,0.0021,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5099.1,1.02584,0.43704,0.00205,0.89578,0.81285,0.87671,0.66738,1.13139,0.61488,0.0021,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5148.53,1.01988,0.43281,0.00205,0.89618,0.81446,0.88012,0.66943,1.13115,0.60983,0.0021,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5198.22,1.01836,0.43199,0.00203,0.89263,0.81703,0.87996,0.67137,1.13086,0.61521,0.0021,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5247.7,1.00844,0.42344,0.00201,0.89697,0.81697,0.88329,0.67245,1.12897,0.60486,0.0021,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5297.21,1.01104,0.42817,0.00202,0.9078,0.81168,0.88212,0.67237,1.12824,0.60932,0.0021,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5346.52,1.00729,0.42501,0.002,0.89731,0.81713,0.88041,0.67199,1.1293,0.60725,0.0021,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
