epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,5325.91,1.23085,0.67121,0.0025,0.90119,0.83523,0.91534,0.68327,1.05899,0.58127,0.0022,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,5393.33,1.22401,0.66956,0.00245,0.88835,0.83664,0.9141,0.68177,1.05604,0.58343,0.0022,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,5461.12,1.21994,0.65909,0.00246,0.89256,0.8336,0.91067,0.67939,1.05524,0.58858,0.0022,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,5528.8,1.22657,0.66353,0.00248,0.89314,0.83464,0.91457,0.68307,1.05359,0.58484,0.0022,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,5596.84,1.21799,0.65713,0.00243,0.88666,0.83435,0.90771,0.67943,1.05369,0.58471,0.0022,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,5664.09,1.2216,0.66306,0.00244,0.89204,0.83397,0.90984,0.68137,1.05107,0.58849,0.00219,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,5731.17,1.22596,0.66856,0.00246,0.90028,0.83138,0.91326,0.68261,1.05478,0.58399,0.0022,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,5799.02,1.22741,0.66288,0.00244,0.89003,0.83486,0.91364,0.68337,1.05608,0.58459,0.00221,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,5867.04,1.21161,0.65123,0.00242,0.90418,0.82852,0.91552,0.6855,1.05369,0.58347,0.0022,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5934.52,1.21371,0.6577,0.00247,0.88393,0.84035,0.91395,0.68759,1.04527,0.58249,0.00217,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,6001.38,1.21132,0.65328,0.00243,0.8898,0.83955,0.91622,0.68917,1.04831,0.57808,0.00217,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,6068.29,1.20345,0.64172,0.00243,0.90102,0.83138,0.91505,0.68677,1.05144,0.58085,0.00219,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,6136.32,1.20686,0.64876,0.00243,0.89563,0.83521,0.91492,0.68854,1.04417,0.57448,0.00217,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,6204.18,1.21046,0.65436,0.00239,0.89048,0.84007,0.91367,0.68675,1.04213,0.5809,0.00217,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,6271.92,1.20881,0.64347,0.0024,0.90571,0.82344,0.9115,0.6866,1.0456,0.58061,0.00218,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
