epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,3514.64,1.1624,0.52029,0.00217,0.89994,0.8183,0.88356,0.67137,1.15103,0.60414,0.00215,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3577.61,1.16536,0.52328,0.00217,0.89768,0.81069,0.87805,0.66449,1.15404,0.61245,0.00216,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3639.12,1.15209,0.51601,0.00213,0.89294,0.80113,0.87357,0.66614,1.13889,0.62489,0.00212,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3700.65,1.15971,0.52191,0.00215,0.88457,0.82317,0.87561,0.66392,1.13757,0.60894,0.00212,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3761.97,1.15681,0.51583,0.00214,0.89684,0.80902,0.87929,0.66728,1.13988,0.62359,0.00213,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3823.42,1.15514,0.51418,0.00214,0.90125,0.81877,0.88011,0.67236,1.14163,0.61083,0.00213,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3885.9,1.15248,0.5162,0.00214,0.89897,0.80872,0.87607,0.66664,1.15774,0.61366,0.00213,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3947.68,1.14504,0.50775,0.00212,0.90314,0.81091,0.88317,0.6703,1.14698,0.62381,0.00212,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4009.79,1.15042,0.51372,0.00211,0.89895,0.80738,0.87849,0.66662,1.14472,0.61567,0.00214,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4071.79,1.14149,0.50685,0.00208,0.90247,0.79967,0.87415,0.66748,1.13906,0.61936,0.00211,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4134.14,1.14938,0.51357,0.00211,0.89358,0.81982,0.8759,0.6645,1.13895,0.62019,0.00212,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4196.29,1.14458,0.50936,0.00209,0.89165,0.80819,0.87363,0.66174,1.14817,0.62024,0.00213,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4258.1,1.13795,0.51038,0.00208,0.89401,0.81782,0.87812,0.66664,1.13225,0.62324,0.00209,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4319.8,1.14148,0.51207,0.00209,0.88565,0.81642,0.87167,0.65925,1.15161,0.61338,0.00213,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4381.23,1.13723,0.50768,0.0021,0.89432,0.80904,0.87089,0.66129,1.13117,0.6204,0.00211,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4442.62,1.12707,0.50558,0.00207,0.90196,0.82196,0.88268,0.66751,1.13329,0.61446,0.00211,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4505.46,1.12654,0.50154,0.00207,0.89407,0.82338,0.88205,0.66916,1.13754,0.60574,0.00211,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4567.25,1.12488,0.49901,0.00205,0.89945,0.81449,0.87753,0.66686,1.13668,0.61246,0.0021,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4628.66,1.10802,0.49013,0.00203,0.89712,0.8189,0.8804,0.67043,1.12913,0.61021,0.00211,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4690.12,1.11181,0.49488,0.00205,0.88871,0.82315,0.87936,0.66857,1.12845,0.59882,0.00209,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4751.77,1.11806,0.49492,0.00203,0.8921,0.81661,0.882,0.67002,1.13674,0.61832,0.00211,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4814.36,1.11508,0.49776,0.00205,0.90598,0.80724,0.88012,0.66875,1.13335,0.61409,0.00209,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4876.39,1.11185,0.49682,0.00205,0.88111,0.82341,0.87937,0.67017,1.1333,0.61503,0.00209,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4938.72,1.1071,0.48882,0.00205,0.90272,0.81589,0.8777,0.67228,1.13414,0.61355,0.0021,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5000.18,1.10901,0.49522,0.00202,0.90165,0.81279,0.88092,0.67119,1.13999,0.62443,0.00211,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5062.18,1.10411,0.48875,0.00202,0.9018,0.81185,0.87758,0.66818,1.1318,0.61581,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5124.63,1.1089,0.49097,0.00202,0.90203,0.81745,0.87883,0.67012,1.13698,0.61717,0.00209,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5187.08,1.10496,0.48906,0.002,0.88881,0.82275,0.87862,0.67158,1.13295,0.61946,0.00208,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5250.88,1.10408,0.48821,0.00201,0.89475,0.81654,0.8754,0.66879,1.13569,0.61542,0.00208,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5312.47,1.10456,0.48708,0.00201,0.90069,0.81063,0.87789,0.67005,1.13125,0.61697,0.00208,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5374.47,1.10582,0.48767,0.002,0.89889,0.81175,0.874,0.66892,1.12974,0.62127,0.00207,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5437.24,1.09513,0.48516,0.002,0.89556,0.82533,0.87835,0.6712,1.12905,0.6153,0.00208,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
